seen,user_index,seed_size
2907,2245,1
10031,310,2
15314,37057,3
16703,2782,4
25517,2673,5
28369,27801,6
41362,46,7
54010,86340,8
58920,254926,9
61411,662159,10
68273,657449,11
69216,648375,12
72945,4986,13
79912,21,14
80679,362,15
83936,646289,16
87710,20024,17
94252,71075,18
97233,44005,19
104601,645916,20
104651,1845,21
113395,3306,22
113554,27814,23
114877,17845,24
127131,105477,25
129582,678165,26
139702,702943,27
154908,1243,28
155967,742,29
159204,1181,30
171913,807,31
172053,75543,32
172156,44012,33
173555,71153,34
175979,649232,35
185177,102903,36
196451,104196,37
196892,1210,38
199676,1011428,39
205248,2316,40
205834,4735,41
210946,646367,42
210957,1182,43
211896,684219,44
211920,38409,45
215662,469,46
222700,802056,47
232111,8386,48
235005,20256,49
236880,110104,50
241361,222724,51
241755,18674,52
243947,680246,53
247452,2844,54
249081,4781,55
268807,22033,56
279801,660639,57
290775,78730,58
292763,805,59
305690,1185,60
313365,94026,61
330766,516,62
333307,20363,63
334100,167,64
335722,645693,65
339278,802,66
340049,1001507,67
344004,642838,68
348410,4049,69
354972,649283,70
355819,47763,71
359857,636736,72
363805,646255,73
367459,108601,74
369985,106354,75
372806,661664,76
388795,697830,77
397117,4935,78
404150,454,79
409835,939,80
410088,3,81
419661,6331,82
421010,1024,83
426440,687,84
438839,825,85
457256,21170,86
460097,831,87
472933,63055,88
480671,660238,89
486744,638610,90
489825,660328,91
492082,616,92
500733,26084,93
505305,23840,94
517504,18858,95
524405,4082,96
528289,30951,97
540521,3099,98
546883,644577,99
548269,122395,100
553478,33,101
561530,2686,102
578229,657357,103
581817,20921,104
582826,732815,105
584281,1179,106
584569,4889,107
609762,94297,108
609771,2525,109
610330,403,110
614827,13024,111
616123,889,112
617853,103,113
623522,6510,114
630350,2661,115
661211,131027,116
667544,8874,117
668724,1703,118
670495,3101,119
689840,69931,120
697407,1985,121
704899,1239,122
705229,27836,123
706325,8745,124
709522,513,125
716059,5995,126
727420,1036,127
729635,29149,128
738302,8423,129
741216,722,130
751850,136261,131
755106,91958,132
756631,13567,133
783616,108611,134
786992,3491,135
807669,114445,136
816428,1368,137
818440,647829,138
821871,106990,139
840203,642613,140
867948,93539,141
882722,642509,142
888049,21472,143
895895,16172,144
901860,20011,145
921654,115240,146
941470,642490,147
953751,1450,148
958697,695405,149
968877,31842,150
987253,11879,151
988310,179149,152
989273,383,153
