seen,user_index,seed_size
2907,2245,1
6835,131024,2
10031,310,3
15314,37057,4
16703,2782,5
25517,2673,6
28369,27801,7
37102,4141,8
41362,46,9
47555,1271,10
54010,86340,11
57121,221169,12
58920,254926,13
61411,662159,14
64800,3009,15
68273,657449,16
69216,648375,17
72945,4986,18
79912,21,19
80679,362,20
83936,646289,21
86661,11809,22
87710,20024,23
94252,71075,24
95833,702853,25
97233,44005,26
104601,645916,27
104651,1845,28
113395,3306,29
113554,27814,30
114877,17845,31
127131,105477,32
129582,678165,33
136405,71,34
139702,702943,35
154908,1243,36
155967,742,37
159204,1181,38
171913,807,39
172053,75543,40
172156,44012,41
173555,71153,42
175979,649232,43
178525,3405,44
185177,102903,45
196451,104196,46
196649,4303,47
196892,1210,48
199676,1011428,49
205248,2316,50
205834,4735,51
210946,646367,52
210957,1182,53
211896,684219,54
211920,38409,55
215662,469,56
222700,802056,57
232111,8386,58
235005,20256,59
236880,110104,60
237982,649853,61
241361,222724,62
241755,18674,63
243947,680246,64
247452,2844,65
249074,75044,66
249081,4781,67
268807,22033,68
279801,660639,69
283569,107600,70
290775,78730,71
292763,805,72
305690,1185,73
313365,94026,74
330766,516,75
333307,20363,76
334100,167,77
335722,645693,78
339278,802,79
340049,1001507,80
344004,642838,81
348410,4049,82
354689,8791,83
354972,649283,84
355819,47763,85
359857,636736,86
363805,646255,87
367459,108601,88
369985,106354,89
372806,661664,90
378335,676883,91
378387,71119,92
385729,3403,93
388610,6440,94
388795,697830,95
397117,4935,96
404150,454,97
409835,939,98
410088,3,99
412122,93930,100
419661,6331,101
421010,1024,102
426440,687,103
438839,825,104
457256,21170,105
457410,1311,106
460097,831,107
472933,63055,108
477670,1112,109
480497,77,110
480671,660238,111
486744,638610,112
489825,660328,113
492082,616,114
500733,26084,115
505305,23840,116
515081,679657,117
517504,18858,118
524405,4082,119
528289,30951,120
540521,3099,121
546205,3803,122
546883,644577,123
548269,122395,124
553478,33,125
561530,2686,126
578229,657357,127
581817,20921,128
582826,732815,129
584281,1179,130
584569,4889,131
600763,305845,132
609762,94297,133
609771,2525,134
610330,403,135
614827,13024,136
616123,889,137
617853,103,138
623522,6510,139
630350,2661,140
661211,131027,141
667544,8874,142
668724,1703,143
670495,3101,144
689840,69931,145
697407,1985,146
704899,1239,147
705229,27836,148
706325,8745,149
709522,513,150
711167,642549,151
716059,5995,152
727420,1036,153
729635,29149,154
730645,2282,155
738302,8423,156
741216,722,157
751850,136261,158
755106,91958,159
756631,13567,160
766008,529,161
766551,21408,162
783616,108611,163
785695,89639,164
786992,3491,165
807669,114445,166
816428,1368,167
818440,647829,168
821871,106990,169
840203,642613,170
867948,93539,171
882722,642509,172
888049,21472,173
895895,16172,174
901860,20011,175
921654,115240,176
941470,642490,177
944267,642782,178
953751,1450,179
958697,695405,180
968877,31842,181
979036,2732,182
987253,11879,183
988310,179149,184
989273,383,185
