seen,user_index,seed_size
58,26084,1
103,662634,2
105,1071,3
137,928,4
147,362,5
172,645916,6
231,1190,7
424,35660,8
483,108623,9
542,1489,10
563,105,11
577,642861,12
612,155431,13
681,2525,14
685,642490,15
733,27543,16
747,1845,17
868,807,18
919,110104,19
964,479,20
984,108601,21
1002,20363,22
1052,20011,23
1074,672244,24
1190,642536,25
1271,1011428,26
1319,687,27
1361,2686,28
1413,482708,29
1500,27836,30
1977,1490,31
2020,831,32
2049,642539,33
2310,209,34
2343,1273,35
2410,3,36
2706,676602,37
3144,772,38
3237,2632,39
3280,110194,40
3340,5995,41
3527,8745,42
3581,103,43
3894,1431,44
3913,115673,45
4508,802,46
4552,383,47
5124,4718,48
6698,1983,49
7987,661664,50
