seen, seed_size, seed_score
184, 100, 67150.6
365, 200, 83626.1
563, 300, 117448
725, 400, 141469
916, 500, 159444
1106, 600, 179370
1313, 700, 189991
1518, 800, 206581
1707, 900, 217383
1916, 1000, 223398
2110, 1100, 234432
2326, 1200, 243747
2522, 1300, 251682
2710, 1400, 262105
2908, 1500, 266425
3133, 1600, 276904
3364, 1700, 287156
3568, 1800, 293469
3770, 1900, 299890
3962, 2000, 305141
4175, 2100, 308988
4432, 2200, 313406
4648, 2300, 318771
4863, 2400, 323448
5063, 2500, 327229
5290, 2600, 331851
5525, 2700, 336210
5798, 2800, 338330
6050, 2900, 343027
6286, 3000, 348155
6537, 3100, 351019
6773, 3200, 356136
6996, 3300, 361497
7241, 3400, 364796
7483, 3500, 367289
7739, 3600, 371033
7997, 3700, 376150
8231, 3800, 379556
8491, 3900, 382064
8747, 4000, 384935
8997, 4100, 387455
9260, 4200, 390276
9499, 4300, 393005
9799, 4400, 395567
10059, 4500, 399010
10320, 4600, 400934
10570, 4700, 403956
10826, 4800, 406601
11095, 4900, 409794
11332, 5000, 412142
11568, 5100, 413771
11827, 5200, 416108
12101, 5300, 417991
12364, 5400, 419723
12634, 5500, 421768
12914, 5600, 423285
13155, 5700, 425671
13454, 5800, 427948
13727, 5900, 429963
13999, 6000, 431942
14275, 6100, 433864
14502, 6200, 435246
14787, 6300, 437230
15066, 6400, 438764
15387, 6500, 441076
15672, 6600, 443080
15967, 6700, 444692
16231, 6800, 446976
16477, 6900, 448175
16749, 7000, 449946
17061, 7100, 451613
17337, 7200, 453175
17677, 7300, 454825
17944, 7400, 456670
18244, 7500, 458404
18566, 7600, 459625
18836, 7700, 461222
19117, 7800, 462834
19403, 7900, 464272
19729, 8000, 465940
20052, 8100, 467653
20357, 8200, 468750
20621, 8300, 470070
20954, 8400, 471206
21246, 8500, 473138
21576, 8600, 474001
21888, 8700, 475867
22170, 8800, 477237
22492, 8900, 478353
22806, 9000, 479352
23128, 9100, 480839
23430, 9200, 481908
23765, 9300, 483265
24119, 9400, 484801
24442, 9500, 485833
24740, 9600, 487128
25069, 9700, 488210
25361, 9800, 489313
25657, 9900, 490734
26002, 10000, 492322
26364, 10100, 493706
26657, 10200, 495006
26940, 10300, 496681
27248, 10400, 497875
27585, 10500, 499077
27875, 10600, 500116
28212, 10700, 501222
28505, 10800, 502780
28815, 10900, 504348
29141, 11000, 505197
29428, 11100, 506365
29750, 11200, 507499
30075, 11300, 508373
30416, 11400, 509380
30726, 11500, 510327
31022, 11600, 511272
31312, 11700, 512248
31593, 11800, 513328
31934, 11900, 514309
32238, 12000, 515351
32590, 12100, 516514
32925, 12200, 517311
33265, 12300, 518414
33608, 12400, 519166
33938, 12500, 520184
34319, 12600, 521331
34688, 12700, 522195
35028, 12800, 523340
35378, 12900, 524431
35713, 13000, 525232
36063, 13100, 526100
36441, 13200, 527089
36769, 13300, 528033
37136, 13400, 529125
37511, 13500, 530515
37823, 13600, 531404
38193, 13700, 532234
38520, 13800, 533091
38858, 13900, 533969
39171, 14000, 534625
39532, 14100, 535397
39923, 14200, 535980
40283, 14300, 536650
40607, 14400, 537520
40996, 14500, 538167
41329, 14600, 539042
41681, 14700, 540129
42082, 14800, 540935
42484, 14900, 541850
42856, 15000, 542802
43261, 15100, 543400
43632, 15200, 544114
44011, 15300, 545000
44396, 15400, 546047
44801, 15500, 546761
45135, 15600, 547558
45555, 15700, 548475
45960, 15800, 549266
46286, 15900, 550012
46668, 16000, 550682
47040, 16100, 551403
47424, 16200, 552126
47799, 16300, 552771
48197, 16400, 553418
48608, 16500, 554067
48974, 16600, 554832
49327, 16700, 555620
49725, 16800, 556167
50124, 16900, 556831
50559, 17000, 557416
50882, 17100, 558248
51256, 17200, 559124
51632, 17300, 559826
52038, 17400, 560346
52472, 17500, 561073
52799, 17600, 561734
53196, 17700, 562450
53546, 17800, 562932
53920, 17900, 563516
54279, 18000, 564033
54785, 18100, 564749
55210, 18200, 565467
55635, 18300, 566037
56067, 18400, 566586
56534, 18500, 567265
56900, 18600, 568053
57291, 18700, 568663
57686, 18800, 569283
58112, 18900, 569965
58513, 19000, 570625
58921, 19100, 571162
59424, 19200, 571715
59789, 19300, 572502
60204, 19400, 573125
60713, 19500, 573968
61135, 19600, 574554
61495, 19700, 575194
61883, 19800, 576060
62412, 19900, 576587
62852, 20000, 577109
63310, 20100, 577727
63715, 20200, 578504
64135, 20300, 579078
64574, 20400, 579787
65028, 20500, 580451
65422, 20600, 580992
65883, 20700, 581602
66278, 20800, 582243
66776, 20900, 582805
67183, 21000, 583323
67660, 21100, 583915
68088, 21200, 584515
68610, 21300, 584991
69034, 21400, 585528
69518, 21500, 586059
69931, 21600, 586598
70320, 21700, 587347
70806, 21800, 587956
71341, 21900, 588529
71756, 22000, 589048
72145, 22100, 589653
72640, 22200, 590158
73125, 22300, 590638
73627, 22400, 591094
74099, 22500, 591739
74485, 22600, 592180
74970, 22700, 592859
75501, 22800, 593518
75903, 22900, 594068
76299, 23000, 594619
76813, 23100, 595112
77251, 23200, 595713
77708, 23300, 596172
78147, 23400, 596864
78531, 23500, 597348
79059, 23600, 597892
79484, 23700, 598376
79962, 23800, 598806
80367, 23900, 599391
80804, 24000, 599824
81316, 24100, 600389
81789, 24200, 601023
82282, 24300, 601512
82807, 24400, 601961
83279, 24500, 602460
83758, 24600, 602955
84200, 24700, 603492
84697, 24800, 603992
85208, 24900, 604462
