seen, seed_size, seed_score
441, 100, 97815.4
902, 200, 152122
1367, 300, 186338
1926, 400, 212792
2502, 500, 237958
3044, 600, 257275
3648, 700, 279674
4406, 800, 292656
5039, 900, 305009
5807, 1000, 315083
6543, 1100, 326256
7196, 1200, 338226
7928, 1300, 346501
8681, 1400, 355759
9526, 1500, 363147
10324, 1600, 369882
10999, 1700, 376587
11924, 1800, 382792
12888, 1900, 387518
13709, 2000, 393074
14584, 2100, 398158
15585, 2200, 403459
16548, 2300, 408263
17607, 2400, 412604
18695, 2500, 417448
19742, 2600, 421779
21032, 2700, 425851
22115, 2800, 429860
23258, 2900, 432890
24348, 3000, 436041
25432, 3100, 439117
