seen, seed_size, seed_score
1457, 100, 10717.1
2810, 200, 21045
4580, 300, 29855.2
5989, 400, 36056.5
7629, 500, 59738.8
8825, 600, 69248.9
10398, 700, 79232.1
11720, 800, 88602
13384, 900, 97886.8
14498, 1000, 104538
15947, 1100, 111935
17492, 1200, 117235
18825, 1300, 121650
20360, 1400, 134118
22175, 1500, 140414
23566, 1600, 146011
24899, 1700, 149849
26219, 1800, 157307
27837, 1900, 163927
29557, 2000, 170275
31155, 2100, 175533
32668, 2200, 180475
34171, 2300, 185882
35672, 2400, 189708
37412, 2500, 193029
38998, 2600, 199123
40368, 2700, 204714
41827, 2800, 209275
43313, 2900, 212997
45007, 3000, 221680
46302, 3100, 228340
48028, 3200, 232224
49638, 3300, 241503
51294, 3400, 246615
52854, 3500, 251108
54888, 3600, 254312
56687, 3700, 258596
58407, 3800, 261567
60283, 3900, 265361
62105, 4000, 269475
63702, 4100, 271641
65416, 4200, 274660
67098, 4300, 277010
68716, 4400, 281310
70452, 4500, 284618
72014, 4600, 287833
73752, 4700, 298981
75136, 4800, 301935
76790, 4900, 305134
78761, 5000, 308483
80437, 5100, 310645
82371, 5200, 313379
83779, 5300, 317888
85907, 5400, 320365
87923, 5500, 322856
89842, 5600, 326328
91687, 5700, 328571
93523, 5800, 332686
95201, 5900, 334598
97183, 6000, 336606
99074, 6100, 338725
100852, 6200, 341312
102747, 6300, 344544
104762, 6400, 348088
106453, 6500, 350936
108448, 6600, 352773
110162, 6700, 357141
112252, 6800, 359604
113489, 6863, 362493
