seen,user_index,seed_size
45,186778,1
634,8184,2
779,75026,3
802,1270,4
1671,30809,5
2617,42,6
2669,962,7
2907,2245,8
3697,2105,9
4098,3052,10
4116,3941,11
4324,17920,12
5099,10967,13
5985,2444,14
6686,9366,15
6698,96918,16
6835,131024,17
6960,11866,18
7147,70578,19
7233,678972,20
9953,1889,21
10031,310,22
11535,11904,23
12176,1499,24
12411,17927,25
12579,20408,26
12653,1814,27
12972,451731,28
13394,660236,29
13492,707,30
13820,142358,31
15082,44521,32
15314,37057,33
16703,2782,34
17078,4241,35
17185,62517,36
17832,126133,37
17889,106991,38
18202,194880,39
18437,30260,40
18483,20714,41
19785,21139,42
20302,643420,43
20309,4622,44
20338,87758,45
20876,765202,46
21287,734445,47
21334,180594,48
22038,426134,49
22134,21125,50
22766,455314,51
22918,3673,52
23002,9895,53
24450,2993,54
24759,17,55
25216,20270,56
25517,2673,57
25852,38390,58
26304,645860,59
26989,644567,60
27799,646231,61
27916,104133,62
28256,4865,63
28369,27801,64
28858,69793,65
29066,9356,66
29110,37255,67
30228,63838,68
30568,20012,69
30630,63353,70
30757,1891,71
30809,78632,72
31033,4,73
33760,94069,74
33996,71211,75
34118,8319,76
34251,20257,77
34394,100127,78
34574,25460,79
34876,7681,80
35306,91941,81
36056,25524,82
36858,727200,83
36907,1118,84
36956,100173,85
37102,4141,86
37298,5148,87
38371,211400,88
38523,176953,89
39126,77327,90
39610,1041,91
40542,6328,92
40718,9531,93
40969,20192,94
41179,789,95
41246,18244,96
41306,63911,97
41362,46,98
41668,78446,99
42280,66341,100
42610,27203,101
43762,114385,102
44328,20166,103
44334,451,104
44472,20425,105
44943,6761,106
45047,7999,107
46874,38272,108
47555,1271,109
47746,20813,110
47835,108463,111
48819,4584,112
48840,104541,113
49141,1708,114
49231,1319,115
49434,4886,116
49817,320049,117
50377,3508,118
50635,3899,119
50792,35429,120
50812,17416,121
51265,17955,122
51376,148275,123
51524,20494,124
51759,30248,125
52193,402216,126
52733,4007,127
52993,6778,128
54010,86340,129
54424,2693,130
54831,60423,131
54965,9393,132
55199,4024,133
56113,18420,134
56170,702852,135
56886,7878,136
57121,221169,137
57720,106318,138
57775,104181,139
58920,254926,140
59588,1037441,141
59820,4791,142
59999,37352,143
60069,698535,144
60128,167608,145
60627,1522,146
60957,21599,147
61204,708998,148
61411,662159,149
61887,2134,150
61956,20603,151
62041,1025810,152
63064,12573,153
63106,22994,154
63220,38340,155
63232,8000,156
64800,3009,157
65332,5800,158
65333,4904,159
65957,21447,160
65991,1026495,161
66272,858,162
67147,81926,163
67827,643183,164
68061,37952,165
68215,234692,166
68273,657449,167
69043,1187,168
69123,79635,169
69216,648375,170
69293,77217,171
69355,30131,172
69410,66376,173
70454,94695,174
70521,38371,175
72877,20532,176
72945,4986,177
73881,88452,178
74231,107977,179
74817,234675,180
75548,373809,181
76393,20508,182
77366,4885,183
77580,20201,184
78031,21338,185
78041,649214,186
78335,1156,187
78650,123040,188
79070,94618,189
79209,63878,190
79275,27171,191
79360,2559,192
79639,646129,193
79912,21,194
80679,362,195
81526,20137,196
82340,33670,197
82426,20030,198
82707,1073128,199
83551,77295,200
83672,77634,201
83936,646289,202
84292,1016,203
84350,195547,204
84861,20780,205
