seen,user_index,seed_size
45,186778,1
58,4382,2
598,92523,3
634,8184,4
779,75026,5
802,1270,6
970,21671,7
1125,2522,8
1206,54830,9
1217,330,10
1288,231364,11
1429,88579,12
1509,7294,13
1529,37210,14
1547,152719,15
1613,3237,16
1671,30809,17
1702,20539,18
1753,127155,19
1886,113890,20
1964,375774,21
2170,100800,22
2273,144597,23
2366,25169,24
2617,42,25
2669,962,26
2801,4711,27
2850,85658,28
2852,18385,29
2858,7994,30
2907,2245,31
2959,20854,32
3044,34901,33
3131,9925,34
3180,91323,35
3372,712,36
3569,84874,37
3683,3809,38
3697,2105,39
3722,694064,40
3729,93076,41
3860,63531,42
4051,101646,43
4087,90498,44
4098,3052,45
4116,3941,46
4300,9070,47
4324,17920,48
4552,26764,49
4596,63279,50
4691,164605,51
4927,59568,52
4974,9168,53
5099,10967,54
5446,92644,55
5770,72589,56
5902,1394,57
5985,2444,58
6085,640605,59
6102,649217,60
6149,789695,61
6264,80078,62
6418,28137,63
6596,48652,64
6686,9366,65
6698,96918,66
6789,96948,67
6835,131024,68
6868,671620,69
6960,11866,70
6996,127837,71
7119,7109,72
7147,70578,73
7169,88414,74
7233,678972,75
7345,21146,76
7352,15209,77
7571,63743,78
7752,36742,79
7809,12574,80
8168,23017,81
8199,100489,82
8206,2613,83
8292,42257,84
8299,653528,85
8414,266510,86
8530,16389,87
8773,106945,88
8930,12258,89
8971,72574,90
9050,3840,91
9222,20178,92
9603,50223,93
9724,95533,94
9801,50317,95
9953,1889,96
10031,310,97
10128,4086,98
10248,431579,99
10261,759097,100
10534,10032,101
10566,357976,102
10628,93598,103
10652,89827,104
10696,14778,105
10874,104867,106
10992,110936,107
11204,71909,108
11375,4561,109
11459,166147,110
11535,11904,111
11555,845,112
11799,11088,113
11969,92029,114
12050,124926,115
12058,44659,116
12085,200306,117
12176,1499,118
12305,639931,119
12392,684548,120
12397,5245,121
12411,17927,122
12579,20408,123
12653,1814,124
12764,63294,125
12769,38486,126
12868,11461,127
12972,451731,128
13013,12306,129
13217,649453,130
13337,122845,131
13394,660236,132
13492,707,133
13820,142358,134
13885,104293,135
14005,39748,136
14065,175666,137
14088,124486,138
14369,100958,139
14482,81703,140
14508,71885,141
14566,4272,142
14630,19241,143
14802,60449,144
14804,222814,145
14874,1969,146
15013,63770,147
15082,44521,148
15099,234652,149
15177,108206,150
15257,22409,151
15314,37057,152
15358,118329,153
15423,13441,154
15469,70153,155
15749,644745,156
15833,33618,157
16185,642664,158
16202,62634,159
16223,234631,160
16703,2782,161
16721,44980,162
16871,21183,163
16892,994368,164
16925,21559,165
16967,32553,166
17078,4241,167
17185,62517,168
17198,24810,169
17241,104321,170
17452,106092,171
17501,264833,172
17660,95218,173
17832,126133,174
17889,106991,175
18033,30191,176
18202,194880,177
18259,99129,178
18357,78597,179
18427,643274,180
18437,30260,181
18483,20714,182
18585,3355,183
18599,648307,184
18721,62524,185
18940,11814,186
19108,155185,187
19234,10415,188
19259,712536,189
19342,39121,190
19349,6710,191
19574,21114,192
19588,13,193
19648,1092,194
19683,1001949,195
19756,3384,196
19785,21139,197
19921,77254,198
20242,22270,199
20279,35451,200
20302,643420,201
20309,4622,202
20338,87758,203
20364,231215,204
20433,67734,205
20617,143753,206
20641,18634,207
20646,92616,208
20675,182884,209
20876,765202,210
20890,264705,211
20902,20431,212
20966,649522,213
21287,734445,214
21334,180594,215
21526,146279,216
21789,1556,217
21790,11977,218
21816,649970,219
22038,426134,220
22118,1593,221
22134,21125,222
22766,455314,223
22902,8773,224
22918,3673,225
23002,9895,226
23054,92674,227
23126,30930,228
23183,36781,229
23198,104685,230
23340,189054,231
23481,143656,232
23507,43699,233
23609,101931,234
23670,277946,235
23709,155517,236
23855,29997,237
24003,122507,238
24177,133492,239
24253,154869,240
24450,2993,241
24498,33684,242
24606,1806,243
24719,89880,244
24739,116498,245
24759,17,246
24854,181263,247
24875,26868,248
24994,16598,249
25059,1122918,250
25167,170368,251
25216,20270,252
25446,177792,253
25517,2673,254
25811,234785,255
25852,38390,256
26134,52408,257
26211,37129,258
26296,123978,259
26304,645860,260
26393,648383,261
26693,27375,262
26782,716316,263
26989,644567,264
27041,3830,265
27099,93351,266
27799,646231,267
27878,67,268
27916,104133,269
27978,104893,270
28256,4865,271
28369,27801,272
28504,113647,273
28534,29570,274
