seen,user_index,seed_size
11,657449,1
21,1239,2
26,5205,3
47,6400,4
52,3424,5
58,26084,6
59,102903,7
64,642782,8
75,3491,9
80,729,10
81,469,11
85,21159,12
92,62903,13
102,179149,14
103,662634,15
105,1071,16
118,883,17
120,1587,18
132,38384,19
137,928,20
142,69931,21
143,1210,22
147,362,23
150,89639,24
157,2774,25
172,645916,26
182,646628,27
183,2485,28
184,8256,29
202,268336,30
203,3008,31
206,91958,32
209,47794,33
215,1036,34
231,1190,35
234,114921,36
237,18858,37
239,20234,38
248,516,39
265,2834,40
301,20754,41
307,13024,42
310,2234,43
316,14702,44
327,20795,45
329,77260,46
388,2759,47
399,3162,48
400,2720,49
409,3523,50
416,889,51
418,275,52
424,35660,53
426,403,54
431,280435,55
434,20586,56
441,661610,57
447,833,58
450,20081,59
460,5826,60
463,684215,61
479,648298,62
483,108623,63
525,2708,64
534,19462,65
536,94059,66
542,1489,67
563,105,68
570,106354,69
571,23129,70
577,642861,71
583,643719,72
585,27976,73
592,1259,74
597,2559,75
602,2344,76
612,155431,77
613,18613,78
636,722,79
637,3899,80
652,3101,81
655,801,82
661,115240,83
670,4541,84
671,18172,85
681,2525,86
685,642490,87
701,8879,88
706,3916,89
717,515983,90
719,805,91
720,642,92
725,742,93
730,646255,94
732,650456,95
733,27543,96
736,61543,97
742,6210,98
747,1845,99
751,2608,100
754,15143,101
782,196,102
787,37027,103
793,37063,104
796,1009453,105
800,21080,106
804,3219,107
813,2810,108
816,357530,109
825,657357,110
835,254926,111
837,3371,112
838,75543,113
841,36072,114
862,132538,115
868,807,116
883,26352,117
899,62875,118
902,18105,119
903,663582,120
919,110104,121
924,20024,122
945,20964,123
946,78636,124
950,2844,125
951,2282,126
953,9734,127
963,27203,128
964,479,129
981,16013,130
984,108601,131
988,79719,132
990,131027,133
1002,20363,134
1019,21,135
1023,94026,136
1035,692623,137
1041,758404,138
1052,20011,139
1053,3477,140
1056,1226,141
1058,3665,142
1062,77110,143
1074,672244,144
1077,2962,145
1083,881,146
1113,18763,147
1114,518634,148
1116,72399,149
1136,104540,150
1150,1244,151
1166,2719,152
1190,642536,153
1206,20813,154
1213,17270,155
1221,907,156
1238,2423,157
1241,4562,158
1263,4921,159
1268,4049,160
1271,1011428,161
1274,3446,162
1307,47763,163
1319,687,164
1339,29579,165
1345,2846,166
1350,8184,167
1351,27803,168
1352,11866,169
1361,2686,170
1366,850,171
1380,660234,172
1399,642877,173
1400,6518,174
1412,1168,175
1413,482708,176
1416,4904,177
1431,3168,178
1434,38409,179
1447,63732,180
1448,997937,181
1456,167,182
1475,2822,183
1479,1232,184
1500,27836,185
1510,104683,186
1519,71119,187
1529,22014,188
1533,71075,189
1536,234692,190
1552,373537,191
1564,646367,192
1570,2316,193
1572,2782,194
1576,4814,195
1585,20868,196
1596,660238,197
1601,3683,198
1622,1808,199
1625,340,200
1640,1203,201
1644,1179,202
1647,802056,203
1654,37398,204
1656,131024,205
1663,6269,206
1668,2982,207
1697,645693,208
1700,640017,209
1704,114387,210
1709,1007994,211
1716,700,212
1753,51821,213
1779,12825,214
1788,2422,215
1798,5203,216
1801,702853,217
1805,60085,218
1812,122853,219
1815,2538,220
1863,1243,221
1869,636736,222
1872,1118,223
1896,109988,224
1898,6267,225
1925,1311,226
1926,106984,227
1928,5693,228
1936,636156,229
1943,8335,230
1948,93539,231
1951,4935,232
1953,3941,233
1961,33783,234
1971,672652,235
1977,1490,236
1997,28179,237
1999,4613,238
2020,831,239
2038,1707,240
2040,27171,241
2046,21341,242
2049,642539,243
2071,662159,244
2077,69853,245
2083,11905,246
2086,2953,247
2129,32877,248
2133,919,249
2138,33,250
2143,93,251
2159,698535,252
2220,825,253
2238,1271,254
2241,20635,255
2243,684219,256
2252,18571,257
2254,20836,258
2255,1574,259
2272,1182,260
2278,77327,261
2297,645647,262
2299,17685,263
2302,697830,264
2310,209,265
2315,30374,266
2322,17404,267
2323,77607,268
2332,2286,269
2343,1273,270
2358,75044,271
2372,5234,272
2383,75183,273
2392,1258,274
2393,4942,275
2396,660221,276
2400,3112,277
2410,3,278
2423,79927,279
2430,122395,280
2435,7827,281
2447,160789,282
2458,1265,283
2463,2378,284
2469,678165,285
2477,112201,286
2491,62833,287
2520,17263,288
2523,104127,289
2524,1001507,290
2527,46,291
2531,88678,292
2534,480825,293
2564,80175,294
2578,406,295
2581,4418,296
2590,13567,297
2599,38337,298
2617,104537,299
2619,695405,300
