seen,influence_threshold,user_index,ap, infScore, seed_size
2,55.7958,683352,0,100.469,1
5,55.7957,25362,7.8418e-06,62.9098,2
6,55.7855,249069,4.8656e-06,227.016,3
11,55.7708,657449,1.04672e-05,1787.38,4
14,55.7601,13127,0.0489831,57.2593,5
16,55.7574,20071,0.0131159,190.141,6
21,55.7512,1239,0.24462,1166.79,7
22,55.7447,96070,0.571519,154.91,8
58,55.7429,26084,0.60037,1834.65,9
59,55.7408,102903,0.634499,774.278,10
102,55.7334,179149,0.34476,922.323,11
103,55.7332,662634,0.684617,2131.13,12
112,55.7296,30395,0.671751,97.178,13
150,55.7252,89639,0.510836,427.102,14
182,55.7124,646628,0.228788,701.346,15
206,55.7089,91958,0.727339,750.203,16
217,55.7007,210612,0.701788,230.701,17
252,55.6993,281844,0.695796,60.7046,18
259,55.6979,143923,0.686999,149.99,19
270,55.6894,672567,0.271577,160.998,20
387,55.6888,665749,0.661017,277.779,21
398,55.6881,126137,0.783286,137.671,22
424,55.6863,35660,0.77351,10455.8,23
462,55.6845,657377,0.778431,135.227,24
496,55.6831,574709,0,60.4392,25
551,55.6817,751972,0.596358,78.3844,26
752,55.6747,122825,0.495914,254.472,27
918,55.6704,156906,0.649892,74.6874,28
984,55.6653,108601,0.784686,2007.08,29
1009,55.6619,137363,0.678356,198.146,30
1011,55.6598,1034426,0,57.3394,31
1035,55.6592,692623,0.667229,331.159,32
1074,55.6586,672244,0.415149,1817.28,33
1255,55.6457,69888,0.714745,247.8,34
1322,55.6434,166594,0.542086,137.534,35
1323,55.6367,280986,0.575723,188.754,36
1396,55.6298,96750,0.748156,99.8112,37
1434,55.6121,38409,0.650409,472.415,38
1647,55.5918,802056,0.723235,456.915,39
1656,55.5905,131024,0.724011,629.243,40
1730,55.5865,1048329,0.646324,187.327,41
1802,55.5783,343346,0.0628441,91.185,42
1902,55.5675,159927,0.466079,94.5848,43
2159,55.5665,698535,0.773414,428.366,44
2189,55.564,170155,0.540376,197.901,45
2302,55.5558,697830,0.723669,800.626,46
2416,55.5394,219236,0.31876,63.0022,47
2430,55.536,122395,0.226039,567.087,48
2524,55.5355,1001507,0.720206,1384.37,49
2533,55.533,4220,0.689799,282.672,50
2609,55.5268,162035,0.660444,144.629,51
2619,55.5229,695405,0.760953,960.278,52
2654,55.5214,862133,0.344045,68.9014,53
2728,55.5195,162026,0.64765,208.514,54
2735,55.5158,123842,0.747772,438.653,55
3016,55.5143,295011,0.105341,103.029,56
3087,55.5013,226946,0.301288,68.7937,57
3239,55.4992,643702,0.425384,142.598,58
3355,55.4922,686673,0.757001,1370.2,59
3462,55.4898,101920,0.74761,188.558,60
3484,55.4891,649455,0.717261,111.946,61
3539,55.4884,278192,0.481237,283.381,62
3600,55.4876,341247,0.752571,56.4896,63
3629,55.4873,376276,0.426635,120.662,64
3644,55.484,122057,0.665776,159.263,65
3673,55.4832,114349,0.486382,89.4224,66
3842,55.4809,214319,0.523793,102.763,67
3845,55.478,104181,0.701898,475.569,68
4012,55.4756,97297,0.668388,130.42,69
4017,55.4751,122974,0.493802,69.3271,70
4179,55.4689,3583,0.776416,117.663,71
4472,55.4642,74829,0.779117,65.3968,72
4877,55.4607,229006,0.614984,62.6252,73
4975,55.4584,84193,0.780054,231.92,74
5531,55.4557,191650,0.748569,56.1318,75
5968,55.4485,4897,0.775092,779.37,76
6072,55.4448,313757,0.451896,62.5236,77
6136,55.4361,648308,0.692448,361.841,78
6241,55.4197,717436,0.0675809,117.252,79
6720,55.4195,758957,0.734899,1131.75,80
6824,55.4162,455314,0.630546,227.536,81
6964,55.4147,222724,0.426505,551.807,82
7307,55.4128,133185,0.572891,539.219,83
7420,55.4042,642478,0.78508,674.87,84
7583,55.403,600631,0.626302,72.8184,85
7626,55.3982,328122,0.540973,65.8318,86
9630,55.3958,123828,0.602095,199.087,87
9753,55.3865,622595,0.039361,73.9222,88
10027,55.3857,31453,0.65473,209.799,89
10044,55.3672,1032183,0.529622,510.85,90
10072,55.3638,125067,0.606695,63.0278,91
10388,55.3626,714928,0.177276,192.644,92
10569,55.3602,293716,0.133192,83.7939,93
10921,55.3571,289368,0.762516,130.325,94
11071,55.3553,141746,0.661365,155.108,95
