seen,user_index,seed_size
1510,1886,1
2092,419356,2
2941,11904,3
3414,107902,4
3799,33783,5
4123,30948,6
5170,18819,7
5627,91298,8
5800,5462,9
6466,20988,10
6789,108617,11
6842,3061,12
6948,636736,13
7305,758957,14
7621,69794,15
7737,646687,16
7804,2485,17
8091,101770,18
9041,702943,19
9322,19951,20
9983,1203,21
10863,63507,22
11243,928,23
11248,20518,24
11469,1522,25
11628,279498,26
11991,3162,27
12118,680246,28
12787,71240,29
12919,2242,30
13056,3491,31
13324,3848,32
14048,4908,33
14670,10284,34
14846,22457,35
15454,1224,36
15455,5889,37
16270,60392,38
16498,8809,39
16577,660328,40
16635,396184,41
16820,20202,42
17230,208123,43
17626,4891,44
17769,38343,45
20456,57911,46
20760,1063987,47
20818,83213,48
20890,844,49
22082,1530,50
22168,3066,51
22365,4303,52
22393,160788,53
22459,73244,54
23783,33717,55
24075,2782,56
24310,43019,57
24920,1068955,58
25356,199208,59
25396,3974,60
25610,280986,61
25683,231819,62
26699,18462,63
26898,5702,64
27354,18117,65
27882,645727,66
28515,7887,67
28917,94958,68
28932,829,69
29715,649240,70
29945,758404,71
30012,643591,72
30925,6018,73
31284,23976,74
31338,268,75
31441,672652,76
31722,658706,77
31788,107273,78
32097,63543,79
32568,17258,80
32619,23933,81
33055,16129,82
33642,676602,83
35574,1495,84
35993,713825,85
36411,592,86
36515,3683,87
36824,78411,88
37403,234675,89
37459,1793,90
37806,15242,91
39052,28936,92
39843,30788,93
39870,9358,94
39904,3112,95
40192,4312,96
41041,3478,97
42082,1232,98
42460,642838,99
43772,37956,100
44808,9161,101
44907,230052,102
45100,3921,103
45225,96926,104
45287,136261,105
45456,20618,106
45632,1364,107
46695,1210,108
46761,11839,109
46864,87093,110
47041,2708,111
47201,19572,112
47921,3638,113
47950,44521,114
48426,1086053,115
48486,104582,116
49644,3459,117
49958,23129,118
50304,692623,119
50397,2172,120
51136,20166,121
51416,5446,122
51539,280252,123
51840,18047,124
51953,158582,125
52217,3034,126
52913,850,127
53196,20586,128
53347,211400,129
53382,6460,130
53463,12579,131
53531,77333,132
53719,30809,133
53742,874,134
54160,12472,135
54199,20125,136
54425,23676,137
54746,107684,138
55138,3533,139
55164,177282,140
55603,175804,141
56424,51827,142
56716,118537,143
57156,77342,144
57178,1271,145
57696,103913,146
57846,20781,147
57960,20201,148
58063,30212,149
58068,4921,150
58522,795,151
59055,2254,152
59216,355471,153
59229,20484,154
59378,122688,155
59526,5701,156
59527,62127,157
59564,71224,158
59579,649853,159
59590,104365,160
60439,5108,161
60598,18302,162
60628,4443,163
61417,6381,164
61570,33632,165
61931,77327,166
61945,20713,167
62352,403,168
62564,919,169
62575,4309,170
62946,6754,171
64532,104031,172
65783,94140,173
65861,8969,174
66283,479,175
66612,4942,176
66881,4028,177
66921,20754,178
67174,5594,179
67260,6379,180
67446,2693,181
67544,21408,182
68281,103001,183
68413,20041,184
68514,5472,185
69126,644775,186
69257,20595,187
69402,69821,188
69514,1958,189
69726,649283,190
69738,6139,191
69877,72549,192
69911,63353,193
70179,10242,194
70231,480825,195
70498,106354,196
70813,660639,197
71028,5139,198
71143,20192,199
71241,123828,200
71396,4904,201
71925,25256,202
72714,5148,203
72931,17714,204
73039,1836,205
73136,4834,206
73397,1967,207
73618,104132,208
74292,75020,209
74334,662189,210
74738,18938,211
75067,78450,212
75677,637262,213
76454,60611,214
76819,78577,215
76852,3046,216
77163,102903,217
77361,77340,218
77748,640820,219
78102,636156,220
78316,30209,221
78608,9954,222
78675,660227,223
78965,21341,224
79000,616,225
79410,455314,226
79611,20195,227
80565,23429,228
81000,20165,229
81010,822,230
81988,115673,231
83255,83930,232
83991,212536,233
84143,13737,234
84208,104320,235
84333,8856,236
84383,21604,237
84535,4653,238
85037,69875,239
85114,38463,240
85405,20542,241
86051,62760,242
86451,96709,243
87069,8548,244
87210,20803,245
87495,96,246
87548,460539,247
87882,679090,248
88795,5425,249
89050,20289,250
89176,20024,251
90496,888,252
91289,10605,253
91603,11934,254
91960,4501,255
91975,44004,256
92017,60362,257
92476,649255,258
92509,92834,259
92602,20870,260
92803,88732,261
94449,1016,262
95021,18571,263
95777,17283,264
96122,4955,265
96890,2234,266
97900,2519,267
98190,91942,268
99054,866,269
99650,7915,270
100396,646129,271
100497,11894,272
100501,480,273
100641,31965,274
101148,28179,275
101359,20551,276
101431,1587,277
101768,33541,278
103226,1023,279
103236,9206,280
103856,883,281
104373,646289,282
104634,713699,283
105052,454,284
105377,5698,285
107039,16694,286
109093,21153,287
110853,20672,288
111234,3403,289
111891,638614,290
112440,24395,291
113275,95314,292
113882,11988,293
114026,91172,294
114137,77,295
114242,82469,296
114292,93559,297
114513,9051,298
114524,1244,299
114948,78042,300
115470,4773,301
115882,732340,302
117988,29567,303
118268,10418,304
118672,3882,305
118878,20335,306
119061,87290,307
119140,20112,308
119640,2625,309
119780,33772,310
119814,37130,311
119980,1890,312
120089,85529,313
120112,24061,314
120221,13449,315
120684,956,316
121390,649234,317
121716,203,318
123246,38282,319
123314,194,320
123384,1118,321
123550,63585,322
123729,96717,323
123915,147826,324
124123,21549,325
125075,1014,326
125514,44005,327
125625,21249,328
125753,9840,329
125978,660678,330
126115,3193,331
126334,110194,332
127106,1036,333
127405,30192,334
127588,18172,335
128717,25166,336
129765,4696,337
129834,192010,338
130615,3335,339
130757,8319,340
131106,640399,341
131923,106984,342
132020,2085,343
132041,51825,344
132174,21294,345
132372,191444,346
132408,15143,347
132515,27203,348
132977,175710,349
132993,662160,350
133059,1218,351
133197,167799,352
133231,1910,353
133257,451,354
133760,287958,355
134345,133185,356
134492,26391,357
134783,104407,358
135266,77294,359
135503,162223,360
136141,20266,361
136185,60309,362
136410,21182,363
137015,21351,364
137305,114385,365
137311,37290,366
137365,20912,367
137704,642851,368
137943,133389,369
138627,21016,370
138997,12676,371
139182,104698,372
139434,4729,373
139786,6536,374
140010,642664,375
140031,86406,376
140267,11955,377
140285,60900,378
140702,91961,379
141105,126608,380
142181,17301,381
142320,63544,382
142402,18481,383
142850,2719,384
142993,77110,385
143062,660570,386
143935,101933,387
144006,1112,388
144279,643033,389
144613,4728,390
145428,71,391
145566,3477,392
145591,542,393
145721,93965,394
146226,2473,395
146512,94614,396
146700,18972,397
146989,4852,398
147086,33626,399
147094,886,400
147289,20487,401
147333,20209,402
147440,75044,403
148603,907982,404
148621,71067,405
149225,38340,406
149345,643569,407
149371,105429,408
149418,197040,409
149493,94184,410
150005,71178,411
151398,865,412
151688,2316,413
151922,43734,414
152068,1246,415
152141,106988,416
152368,3497,417
152413,2775,418
152571,118551,419
153959,20247,420
154058,962,421
155022,20013,422
155091,407839,423
155411,102787,424
155599,30168,425
156823,35290,426
156863,1101,427
157190,1305,428
157266,5134,429
157760,108832,430
158191,4667,431
159640,43680,432
159903,366,433
160007,195547,434
160414,107558,435
160521,4623,436
161195,25460,437
161861,2428,438
162568,208974,439
162651,180594,440
163073,36712,441
165087,175643,442
166137,902,443
166970,95652,444
167826,21028,445
167879,1007,446
168293,71093,447
169229,8898,448
169515,926,449
169578,3792,450
169703,3450,451
170067,33635,452
170212,90046,453
171087,16346,454
171393,68124,455
171818,20982,456
172336,90929,457
172764,25,458
173525,4007,459
174969,70141,460
175121,4930,461
176103,6674,462
176567,37250,463
176801,1351,464
176925,643250,465
177292,27259,466
178007,20758,467
178128,20106,468
178452,649204,469
178807,649251,470
180219,1059,471
180280,19988,472
181131,24616,473
181465,33129,474
182573,58,475
182814,83681,476
182938,3551,477
183182,685071,478
183300,106143,479
183404,63923,480
184423,70081,481
184504,7356,482
184777,8256,483
184904,33741,484
185373,679387,485
185555,11919,486
185560,5872,487
186187,5463,488
186723,104856,489
186824,93,490
186983,30272,491
187640,11880,492
188232,26921,493
188492,2422,494
188560,30952,495
189881,6425,496
190303,106500,497
190753,643035,498
191994,77319,499
192201,11866,500
192451,14702,501
192530,95743,502
193179,684215,503
193361,357530,504
193580,30295,505
194087,20324,506
194778,84542,507
195320,18147,508
196156,7873,509
196881,21043,510
197566,16875,511
197681,104689,512
198116,71075,513
198418,83987,514
199079,110591,515
200346,648308,516
200937,1820,517
200991,1446,518
201110,37353,519
201254,22467,520
201476,1922,521
201803,642464,522
201826,435225,523
202454,20668,524
202530,101699,525
202575,20087,526
204134,11401,527
204378,2732,528
205287,33694,529
205519,9804,530
206321,136992,531
206962,29312,532
207723,84866,533
207758,1159,534
208412,677561,535
208552,1411,536
209450,645595,537
209494,9321,538
210016,38371,539
210061,111467,540
210123,645626,541
211087,1354,542
212323,20881,543
212569,79195,544
212766,3025,545
213251,714495,546
213894,107899,547
215156,644036,548
215314,324178,549
215892,21289,550
216114,9366,551
216115,3155,552
216791,646634,553
217199,112194,554
217663,234689,555
218456,21193,556
218740,20432,557
218905,20743,558
219140,6465,559
219622,2599,560
220600,280407,561
220900,8497,562
221080,3357,563
221163,4751,564
221237,22747,565
221264,7883,566
221287,719,567
221827,5826,568
222518,3156,569
222608,88573,570
223377,4112,571
223809,130338,572
223844,4854,573
223933,20989,574
223987,28559,575
224281,62632,576
224512,673641,577
224593,11916,578
225217,2720,579
225664,27836,580
226661,62792,581
227101,741573,582
228168,78639,583
228422,2686,584
228497,11860,585
228945,91958,586
230508,3727,587
231199,46682,588
231783,469,589
232183,4220,590
232351,1499,591
232489,77716,592
232631,1021638,593
232909,16048,594
233226,104540,595
233236,123040,596
233538,44,597
234092,78799,598
234304,91024,599
234681,660235,600
234845,995816,601
236057,20657,602
236408,23947,603
236937,105662,604
237557,4965,605
237693,1808,606
238432,991906,607
238738,21065,608
238744,511,609
239587,104703,610
239744,72682,611
241472,75935,612
241526,664091,613
241952,640006,614
242491,122845,615
242540,1015038,616
242647,26213,617
243335,160264,618
244114,151639,619
244665,20153,620
244958,1319,621
245232,1063070,622
245530,305845,623
245660,710072,624
246279,50561,625
246562,21004,626
246759,1657,627
247075,20932,628
247417,2232,629
248208,6429,630
248654,20636,631
248750,67934,632
248908,48360,633
249278,1010,634
249390,122093,635
249933,77304,636
250421,19583,637
251124,3903,638
251401,651485,639
251549,646,640
251599,27803,641
251779,12684,642
251959,5133,643
252117,690,644
253374,2237,645
253649,20868,646
254596,364,647
255708,4388,648
255865,101830,649
256785,21192,650
257090,93326,651
257846,8571,652
258845,95019,653
259332,37705,654
260594,7864,655
261354,9375,656
261733,4241,657
262014,21097,658
262027,11303,659
262063,75,660
262067,103,661
262581,159303,662
262984,6067,663
263514,4229,664
264183,21275,665
264270,105533,666
264823,2962,667
266506,650456,668
266574,41815,669
266636,4905,670
266686,406,671
266716,1896,672
267352,646231,673
267476,77316,674
267976,61922,675
268385,27019,676
268750,4781,677
268920,96069,678
269541,30113,679
269599,2825,680
270261,51616,681
270771,71245,682
270800,72524,683
270949,4814,684
271145,105467,685
271294,17955,686
271435,4739,687
272038,775,688
272434,1927,689
272602,3899,690
272868,17725,691
273106,91995,692
273255,96553,693
273414,2898,694
273527,9286,695
275899,21217,696
276169,92745,697
276272,18674,698
276416,37027,699
276762,212420,700
277123,645694,701
277661,73213,702
277806,27320,703
277955,110904,704
278225,20553,705
278724,90888,706
279227,5197,707
279424,102395,708
279629,247,709
279679,819,710
280181,4642,711
280651,635970,712
281276,124592,713
281680,6319,714
281803,640334,715
281945,11879,716
282622,20269,717
282847,74773,718
283633,14182,719
283654,642549,720
284278,16172,721
284284,833,722
284792,13696,723
285272,9348,724
285273,44751,725
285390,6422,726
285419,1156,727
286480,6235,728
286577,644878,729
286596,107367,730
286740,155423,731
286786,27109,732
286839,60443,733
287329,684219,734
287365,660793,735
287370,2539,736
287404,4194,737
287577,1834,738
287715,1708,739
287736,12573,740
287802,113768,741
288118,60204,742
288214,4902,743
288215,240396,744
288880,1239,745
289357,21465,746
289383,6473,747
289530,38272,748
290224,662416,749
290296,3708,750
290320,347330,751
290795,1141,752
291797,30345,753
292188,637244,754
292334,16255,755
292527,70661,756
292698,661391,757
292801,2161,758
292917,36072,759
293080,4741,760
293236,2721,761
293306,20156,762
294119,3458,763
294576,122057,764
294676,165989,765
294824,5160,766
294846,8617,767
295907,20427,768
295951,86430,769
296209,3482,770
296630,62629,771
297265,1181,772
297904,2318,773
299171,38466,774
299774,401876,775
299915,38409,776
300459,186756,777
300969,3225,778
301032,643420,779
302349,2759,780
302380,649123,781
302621,6322,782
302626,9351,783
302886,113679,784
303119,5203,785
303240,660523,786
303515,71185,787
304433,21100,788
304908,90811,789
305292,104704,790
306149,7925,791
306199,28514,792
306308,4082,793
306375,104129,794
306683,20687,795
306855,92972,796
307737,727861,797
308111,643278,798
308342,6457,799
308773,82334,800
