seen,user_index,seed_size
59,93239,1
183,20520,2
240,33752,3
548,12152,4
755,4815,5
976,70405,6
1083,4879,7
1124,22079,8
1137,5171,9
1331,84948,10
1441,1138,11
1443,1107,12
1510,1886,13
1772,61350,14
2044,3305,15
2092,419356,16
2195,7205,17
2325,1030118,18
2436,110263,19
2513,640807,20
2941,11904,21
3013,73092,22
3372,657587,23
3414,107902,24
3454,106804,25
3463,643279,26
3531,3808,27
3659,192967,28
3663,44292,29
3693,21067,30
3722,3515,31
3799,33783,32
3814,24403,33
3890,7712,34
4028,83855,35
4123,30948,36
4200,63609,37
4346,1148,38
4435,52296,39
4499,12976,40
4505,115880,41
4676,728,42
4822,85568,43
4858,33694,44
5078,27308,45
5082,104897,46
5161,22669,47
5170,18819,48
5190,42274,49
5214,159184,50
5320,40058,51
5349,181013,52
5407,175709,53
5408,132779,54
5528,20641,55
5627,91298,56
5676,108462,57
5800,5462,58
5888,72488,59
5891,112188,60
6106,90863,61
6141,59610,62
6150,328,63
6315,32110,64
6335,13615,65
6346,166181,66
6390,2931,67
6455,21814,68
6466,20988,69
6496,1883,70
6672,20679,71
6711,2399,72
6789,108617,73
6842,3061,74
6948,636736,75
6998,20159,76
7102,100800,77
7264,13164,78
7305,758957,79
7417,15500,80
7621,69794,81
7662,649453,82
7737,646687,83
7779,20262,84
7804,2485,85
7867,146927,86
7896,6641,87
8065,221749,88
8091,101770,89
8123,27849,90
8139,3116,91
8211,53256,92
8276,199490,93
8294,186553,94
8399,16008,95
8496,97215,96
8589,122785,97
8597,20220,98
8717,28051,99
8929,15976,100
9031,30395,101
9041,702943,102
9274,143003,103
9322,19951,104
9436,656050,105
9604,78332,106
9628,179211,107
9746,75324,108
9901,104510,109
9910,21052,110
9983,1203,111
10323,106350,112
10416,1102663,113
10517,160270,114
10528,152586,115
10603,29176,116
10863,63507,117
11041,216122,118
11079,24493,119
11169,645686,120
11243,928,121
11248,20518,122
11327,60308,123
11374,160677,124
11469,1522,125
11536,19995,126
11628,279498,127
11629,16389,128
11829,6418,129
11901,26216,130
11946,8744,131
11991,3162,132
12010,43055,133
12046,20119,134
12118,680246,135
12143,107311,136
12196,92122,137
12425,92616,138
12762,96065,139
12787,71240,140
12791,14262,141
12801,21231,142
12919,2242,143
12963,176905,144
12987,11823,145
13056,3491,146
13324,3848,147
13463,18880,148
13480,379920,149
13575,8677,150
13765,23869,151
14048,4908,152
14077,39121,153
14166,35812,154
14272,6640,155
14548,118554,156
14578,59878,157
14670,10284,158
14827,649608,159
14846,22457,160
14879,63668,161
14906,101619,162
15088,82327,163
15257,112197,164
15308,694399,165
15454,1224,166
15455,5889,167
15914,59968,168
16047,7975,169
16270,60392,170
16308,687793,171
16498,8809,172
16577,660328,173
16578,649221,174
16635,396184,175
16785,105659,176
16820,20202,177
16826,182928,178
16950,11088,179
17043,78738,180
17097,1763,181
17220,62929,182
17226,356533,183
17230,208123,184
17439,17619,185
17527,593582,186
17615,18008,187
17626,4891,188
17654,10677,189
17689,134967,190
17769,38343,191
18003,11761,192
18168,21180,193
18182,1779,194
18196,24206,195
18248,125371,196
18256,104692,197
18412,21127,198
18489,29954,199
18540,91359,200
18708,387,201
18850,29685,202
19151,4702,203
19274,20717,204
19288,82454,205
19469,445263,206
19788,14,207
19886,95958,208
19938,78628,209
20004,2126,210
20035,130877,211
20058,91777,212
20106,88733,213
20122,33565,214
20275,126136,215
