seen, seed_size, seed_score
3712, 100, 8614.03
7189, 200, 25889.7
11230, 300, 32217.5
14371, 400, 40529.5
18275, 500, 44866.5
21259, 600, 49326.5
24769, 700, 54321.7
28001, 800, 59746.1
31313, 900, 63698.3
35038, 1000, 68674.1
38276, 1100, 72915.3
40832, 1200, 78280.8
44543, 1300, 82858.9
47479, 1400, 88790.9
50895, 1500, 92868.6
54361, 1600, 96226.5
58162, 1700, 101944
62078, 1800, 105776
65794, 1900, 109231
70148, 2000, 113067
74098, 2100, 115698
77989, 2200, 119227
81699, 2300, 124433
85567, 2400, 129398
88595, 2500, 132543
91960, 2600, 135765
95558, 2700, 140153
99283, 2800, 143463
102630, 2900, 146971
106112, 3000, 149727
109758, 3100, 152574
112904, 3200, 155507
113489, 3212, 155923
